week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id,manager,team_name,Fantasy_Position,actual_position
2.0,4372016.0,Jaylen Waddle,4.0,34.6,3.0,15.0,10.4,3.0,TnM,Team Tenner n Mamby ,WR,WR
3.0,3126486.0,Deebo Samuel,4.0,10.4,3.0,25.0,15.4,3.0,TnM,Team Tenner n Mamby ,WR,WR
3.0,4372016.0,Jaylen Waddle,4.0,13.1,3.0,15.0,13.4,3.0,TnM,Team Tenner n Mamby ,WR,WR
1.0,3126486.0,Deebo Samuel,4.0,11.6,3.0,25.0,14.6,3.0,TnM,Team Tenner n Mamby ,WR,WR
1.0,4372016.0,Jaylen Waddle,4.0,15.7,3.0,15.0,10.9,3.0,TnM,Team Tenner n Mamby ,WR,WR
10.0,3126486.0,Deebo Samuel,4.0,6.1,3.0,25.0,13.1,3.0,TnM,Team Tenner n Mamby ,WR,WR
10.0,4372016.0,Jaylen Waddle,4.0,8.6,3.0,15.0,13.0,3.0,TnM,Team Tenner n Mamby ,WR,WR
8.0,4372016.0,Jaylen Waddle,4.0,26.6,3.0,15.0,13.1,3.0,TnM,Team Tenner n Mamby ,WR,WR
8.0,2577327.0,Tyler Lockett,4.0,12.8,3.0,26.0,10.2,3.0,TnM,Team Tenner n Mamby ,WR,WR
9.0,4372016.0,Jaylen Waddle,4.0,17.0,3.0,15.0,12.6,3.0,TnM,Team Tenner n Mamby ,WR,WR
9.0,2577327.0,Tyler Lockett,4.0,15.2,3.0,26.0,11.1,3.0,TnM,Team Tenner n Mamby ,WR,WR
4.0,4239993.0,Tee Higgins,4.0,21.9,3.0,4.0,12.0,4.0,Team,Mixon and Nixon ,WR,WR
4.0,3895856.0,Christian Kirk,4.0,7.3,3.0,30.0,12.6,4.0,Team,Mixon and Nixon ,WR,WR
5.0,4239993.0,Tee Higgins,4.0,0.0,3.0,4.0,13.7,4.0,Team,Mixon and Nixon ,WR,WR
5.0,3895856.0,Christian Kirk,4.0,1.6,3.0,30.0,13.2,4.0,Team,Mixon and Nixon ,WR,WR
7.0,4239993.0,Tee Higgins,4.0,11.8,3.0,4.0,13.2,4.0,Team,Mixon and Nixon ,WR,WR
7.0,3895856.0,Christian Kirk,4.0,13.6,3.0,30.0,10.2,4.0,Team,Mixon and Nixon ,WR,WR
6.0,4239993.0,Tee Higgins,4.0,7.7,3.0,4.0,10.3,4.0,Team,Mixon and Nixon ,WR,WR
6.0,3895856.0,Christian Kirk,4.0,8.8,3.0,30.0,11.0,4.0,Team,Mixon and Nixon ,WR,WR
2.0,4239993.0,Tee Higgins,4.0,16.1,3.0,4.0,11.4,4.0,Team,Mixon and Nixon ,WR,WR
2.0,4241463.0,Jerry Jeudy,4.0,1.7,3.0,7.0,10.9,4.0,Team,Mixon and Nixon ,WR,WR
3.0,4239993.0,Tee Higgins,4.0,11.8,3.0,4.0,11.4,4.0,Team,Mixon and Nixon ,WR,WR
3.0,3895856.0,Christian Kirk,4.0,16.2,3.0,30.0,11.2,4.0,Team,Mixon and Nixon ,WR,WR
1.0,4239993.0,Tee Higgins,4.0,3.7,3.0,4.0,12.2,4.0,Team,Mixon and Nixon ,WR,WR
1.0,4241463.0,Jerry Jeudy,4.0,18.2,3.0,7.0,11.3,4.0,Team,Mixon and Nixon ,WR,WR
10.0,4241463.0,Jerry Jeudy,4.0,0.0,3.0,7.0,10.2,4.0,Team,Mixon and Nixon ,WR,WR
10.0,3895856.0,Christian Kirk,4.0,27.0,3.0,30.0,11.6,4.0,Team,Mixon and Nixon ,WR,WR
8.0,4239993.0,Tee Higgins,4.0,12.4,3.0,4.0,14.4,4.0,Team,Mixon and Nixon ,WR,WR
8.0,3895856.0,Christian Kirk,4.0,6.5,3.0,30.0,9.7,4.0,Team,Mixon and Nixon ,WR,WR
9.0,4239993.0,Tee Higgins,4.0,9.5,3.0,4.0,13.0,4.0,Team,Mixon and Nixon ,WR,WR
9.0,3895856.0,Christian Kirk,4.0,17.6,3.0,30.0,11.0,4.0,Team,Mixon and Nixon ,WR,WR
4.0,4047646.0,A.J. Brown,4.0,12.0,3.0,21.0,14.4,5.0,NIX,Defend the Crown,WR,WR
4.0,2976499.0,Amari Cooper,4.0,1.4,3.0,5.0,11.5,5.0,NIX,Defend the Crown,WR,WR
5.0,4047646.0,A.J. Brown,4.0,4.7,3.0,21.0,14.0,5.0,NIX,Defend the Crown,WR,WR
5.0,2976499.0,Amari Cooper,4.0,17.1,3.0,5.0,10.2,5.0,NIX,Defend the Crown,WR,WR
