team_id,manager,team_name
1,QUON,Quon's  League 
2,RIP,Matthew Berry Dead
3,TnM,Team Tenner n Mamby 
4,Team,Mixon and Nixon 
5,NIX,Defend the Crown
6,ITTO,Team Ittounas
7,THIC,Kittle's Coming Home!
8,GREG,Greg's Gang
9,Reid,I Hate Joe Burrow
10,DAD,A Cursed Entity
