week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id
1.0,4360238.0,Dameon Pierce,20.0,4.4,2.0,34.0,10.0,5.0
1.0,2330.0,Tom Brady,0.0,10.38,1.0,27.0,19.1,5.0
1.0,4248528.0,Christian Watson,20.0,5.1,3.0,9.0,5.5,5.0
1.0,12483.0,Matthew Stafford,20.0,7.8,1.0,14.0,16.9,5.0
1.0,-16011.0,Colts D/ST,16.0,7.0,16.0,11.0,7.3,5.0
1.0,11122.0,Matt Prater,17.0,1.0,5.0,22.0,8.0,5.0
1.0,2977187.0,Cooper Kupp,4.0,25.3,3.0,14.0,16.0,6.0
1.0,2976212.0,Stefon Diggs,4.0,22.2,3.0,2.0,13.6,6.0
1.0,3115364.0,Leonard Fournette,2.0,14.7,2.0,27.0,15.1,6.0
1.0,4360248.0,Kyle Pitts,6.0,2.9,4.0,1.0,9.5,6.0
1.0,3915416.0,DJ Moore,23.0,6.5,3.0,29.0,12.0,6.0
1.0,3917315.0,Kyler Murray,0.0,20.62,1.0,22.0,20.5,6.0
1.0,4045163.0,Miles Sanders,2.0,17.5,2.0,21.0,12.0,6.0
1.0,16731.0,Brandin Cooks,20.0,11.7,3.0,34.0,11.0,6.0
1.0,4048244.0,Alexander Mattison,20.0,3.6,2.0,16.0,3.8,6.0
1.0,2576434.0,Melvin Gordon III,20.0,6.2,2.0,7.0,8.3,6.0
1.0,4052042.0,James Robinson,20.0,19.4,2.0,20.0,7.7,6.0
1.0,3135321.0,Hunter Renfrow,20.0,3.6,3.0,13.0,10.0,6.0
1.0,-16007.0,Broncos D/ST,16.0,7.0,16.0,7.0,6.4,6.0
1.0,4035886.0,Khalil Herbert,20.0,10.8,2.0,3.0,6.6,6.0
1.0,4371733.0,Kenneth Gainwell,20.0,10.2,2.0,21.0,5.8,6.0
1.0,2985659.0,Wil Lutz,17.0,9.0,5.0,18.0,7.2,6.0
1.0,4241457.0,Najee Harris,2.0,9.6,2.0,23.0,14.4,7.0
1.0,16800.0,Davante Adams,4.0,25.1,3.0,13.0,13.9,7.0
1.0,3045147.0,James Conner,2.0,14.0,2.0,22.0,15.4,7.0
1.0,15818.0,Keenan Allen,4.0,8.6,3.0,24.0,11.3,7.0
1.0,3040151.0,George Kittle,20.0,0.0,4.0,25.0,0.0,7.0
1.0,3116165.0,Chris Godwin,20.0,5.0,3.0,27.0,8.4,7.0
1.0,3120348.0,JuJu Smith-Schuster,23.0,8.9,3.0,12.0,10.1,7.0
1.0,4379399.0,James Cook,20.0,-1.8,2.0,2.0,5.2,7.0
1.0,3128390.0,Allen Lazard,20.0,0.0,3.0,9.0,0.0,7.0
1.0,4567048.0,Kenneth Walker III,20.0,0.0,2.0,26.0,0.0,7.0
